OBJECTID,NAME,NBR,STREETADDR,CITY,ZIP,TYPE,GCSCORE,GCMETHOD,DAFID,POINT_X,POINT_Y,x,y
2384,HARMONS,01,3955 W 3500 S,WEST VALLEY CITY,84120,Supermarket,100,AddressPoints.AddressGrid,R10559,416719.59167757,4505441.91667033,416719.5917,4505441.9167
2385,HARMONS,,1189 E 700 S,SAINT GEORGE,84790,Supermarket,100,AddressPoints.AddressGrid,R10567,272640.402995728,4108745.38199157,272640.403,4108745.382
2386,FAMILY DOLLAR INC,31000,22 S STATE ST,SALINA,84654,Convenience Grocery,100,AddressPoints.AddressGrid,R105684,425443.681918381,4312384.67180498,425443.6819,4312384.6718
2387,FAMILY DOLLAR INC,30437,50 E CTR ST,MONTICELLO,84535,Convenience Grocery,100,Centerlines.StatewideRoads,R105685,645826.094112499,4192964.25538479,645826.0941,4192964.2554
2388,FAST STOP,,1401 S MAIN,BEAVER,84713,Convenience Grocery,90.9199981689453,Centerlines.StatewideRoads,R105733,355980.113270836,4235383.48065382,355980.1133,4235383.4807
2389,HARMONS,,3270 S 1300 E,SALT LAKE CITY,84106,Supermarket,100,Centerlines.StatewideRoads,R10574,427835.88620005,4505837.52734998,427835.8862,4505837.5273
2390,ABDI BRO`S MARKET,,3505 S MAIN ST,SALT LAKE CITY,84115,Grocery Store,100,Centerlines.StatewideRoads,R105763,424725.105747563,4505296.87731972,424725.1057,4505296.8773
2391,NATURAL GROCERS,,1075 N MAIN STE 110,LOGAN,84321,Health Food,90.9199981689453,AddressPoints.AddressGrid,R105804,430500.53445175,4622540.89960706,430500.5345,4622540.8996
2392,BOOMERS DISCOUNT MARKETS,,855 S BLUFF ST,ST GEORGE,84770,Grocery Store,100,AddressPoints.AddressGrid,R105882,270269.376658094,4108297.65379855,270269.3767,4108297.6538
2393,FAMILY DOLLAR INC,30897,120 N MAIN ST,MONROE,84754,Convenience Grocery,100,AddressPoints.AddressGrid,R105893,402437.480679616,4276771.8232183,402437.4807,4276771.8232
2394,CHRISTIAN CENTER OF PARK CITY,,1283 DEER VALLEY DR,PARK CITY,84060,Salvage Grocery,100,AddressPoints.AddressGrid,R105983,457419.573393391,4500822.90762975,457419.5734,4500822.9076
2395,THEFRONTEIR CAFE & COUNTRY STORE ,,15 W 2200 S,FRANCIS,84036,Convenience Grocery,100,AddressPoints.AddressGrid,R106126,476230.707854545,4495534.19622648,476230.7079,4495534.1962
2396,JUNCTION MARKET X,,1593 ZION PARK BLVD,SPRINGDALE,84767,Convenience Grocery,100,AddressPoints.AddressGrid,R106172,321811.614574999,4116606.20377159,321811.6146,4116606.2038
2397,WAL-MART,4700,1707 W STATE ST,PLEASANT GROVE,84062,Supermarket,100,AddressPoints.AddressGrid,R106210,435025.945126626,4468826.12602418,435025.9451,4468826.126
2398,SPECIALTY MARKET,,842 E FORT UNION BLVD,MIDVALE,84047,Specialty Grocery,100,AddressPoints.AddressGrid,R106431,426590.864029581,4497115.97797814,426590.864,4497115.978
2399,SILVER PEAK SUPPLY,,21 E HWY 56,NEWCASTLE,84756,Convenience Grocery,100,Centerlines.StatewideRoads,R10667,275239.296619979,4172511.99410749,275239.2966,4172511.9941
2400,GNC,,5741 HARRISON BLVD SOUTH,OGDEN,84403,Health Food,92.4300003051758,Centerlines.StatewideRoads,R107141,421140.532740927,4556780.77674154,421140.5327,4556780.7767
2401,CVS/PHARMACY,10332,3148 W 3500 S,WEST VALLEY CITY,84119,Convenience Grocery,100,AddressPoints.AddressGrid,R107167,418334.584629796,4505580.84543595,418334.5846,4505580.8454
2402,ARS,642 EXXON MOBIL,1285 W 9000 S,WEST JORDAN,84088,Convenience Grocery,100,AddressPoints.AddressGrid,R107187,421403.275894086,4493379.43599219,421403.2759,4493379.436
2403,RESTAURANT DEPOT,,1145 S 700 W,SALT LAKE CITY,84104,Retail,100,AddressPoints.AddressGrid,R107237,423192.183881908,4510729.59783723,423192.1839,4510729.5978
2404,MARIAS MARKET 2 INC,,4984 S REDWOOD RD,TAYLORSVILLE,84118,Grocery Store,100,AddressPoints.AddressGrid,R107266,420591.526212452,4501526.63563662,420591.5262,4501526.6356
2405,DOLLAR TREE,5692,370 N MAIN ST,EPHRAIM,84627,Convenience Grocery,100,AddressPoints.AddressGrid,R107299,449495.656597255,4357645.25233628,449495.6566,4357645.2523
2406,DOLLAR TREE,5603,148 E UNIVERSITY PKWY,OREM,84058,Convenience Grocery,100,AddressPoints.AddressGrid,R107302,441219.371121088,4458132.53710677,441219.3711,4458132.5371
2407,ARS,640 EXXON MOBIL,4841 S REDWOOD RD,MURRAY,84123,Convenience Grocery,100,AddressPoints.AddressGrid,R107395,420678.435002854,4501947.918776,420678.435,4501947.9188
2408,ARS,636 EXXON MOBIL,2187 W 4700 S,TAYLORSVILLE,84118,Convenience Grocery,100,AddressPoints.AddressGrid,R107396,419870.694889764,4502227.19636278,419870.6949,4502227.1964
2409,ARS,641 EXXON MOBIL,3597 W 4700 S,TAYLORSVILLE,84118,Convenience Grocery,100,AddressPoints.AddressGrid,R107397,417450.6418312,4502278.24875115,417450.6418,4502278.2488
2410,ARS,637 EXXON MOBIL,3621 W 5400 S,KEARNS,84118,Convenience Grocery,100,AddressPoints.AddressGrid,R107399,417362.125036746,4500670.12636169,417362.125,4500670.1264
2411,LITTLE POLYNESIA MARKET & FOOD,,5419 W 3500 S - 2,WEST VALLEY CITY,84120,Grocery Store,90.9199981689453,Centerlines.StatewideRoads,R107401,413790.353895427,4508745.75031138,413790.3539,4508745.7503
2412,ARS,634 EXXON MOBIL,690 W 5300 S,MURRAY,84123,Convenience Grocery,100,Centerlines.StatewideRoads,R107402,423063.48843314,4500737.80976037,423063.4884,4500737.8098
2413,ARS,631 EXXON MOBIL,95 W 10600 S,SANDY,84070,Convenience Grocery,100,AddressPoints.AddressGrid,R107404,424366.360970215,4490119.00938766,424366.361,4490119.0094
2414,BIG LOTS,4649,1617 N MAIN ST LOGAN,NORTH LOGAN,84341,Convenience Grocery,90.9199981689453,AddressPoints.AddressGrid,R107450,430545.266200819,4623648.60556685,430545.2662,4623648.6056
2415,COSTCO WHOLESALE,1019,3571 W 10400 S,SOUTH JORDAN,84095,Grocery Store,100,Centerlines.StatewideRoads,R107467,417354.340328596,4490570.90048977,417354.3403,4490570.9005
2416,DOLLAR TREE,6518,2020 HARRISON BLVD,OGDEN,84401,Convenience Grocery,100,Centerlines.StatewideRoads,R107477,420565.265299352,4564763.15770192,420565.2653,4564763.1577
2417,JENNY CRAIG,503,834 E 9400 S,SANDY,84070,Retail,100,AddressPoints.AddressGrid,R107487,426500.105774934,4492478.81450222,426500.1058,4492478.8145
2418,WAVE/KANAB SINCLAIR,,212 W CTR ST,KANAB,84741,Convenience Grocery,100,Centerlines.StatewideRoads,R107559,363657.516204223,4101326.38921815,363657.5162,4101326.3892
2419,RITAS OF LOGAN,,25 W 300 N,LOGAN,84321,Specialty Grocery,100,AddressPoints.AddressGrid,R107679,430514.602746936,4620954.93426044,430514.6027,4620954.9343
2420,7-11,,220 N MAIN ST,MOAB,84532,Convenience Grocery,100,AddressPoints.AddressGrid,R107779,626273.997485513,4270800.00245751,626273.9975,4270800.0025
2421,7-11,,460 S HIGHWAY 94,THOMPSON,84540,Convenience Grocery,100,Centerlines.StatewideRoads,R107780,610808.445583557,4313694.98305105,610808.4456,4313694.9831
2422,7-11,,17 N MAIN ST,MONTICELLO,84535,Convenience Grocery,100,Centerlines.StatewideRoads,R107781,645729.612231127,4193006.73907673,645729.6122,4193006.7391
2423,7-11,,861 S MAIN ST,BLANDING,84511,Convenience Grocery,100,AddressPoints.AddressGrid,R107782,634244.226190544,4163925.21047628,634244.2262,4163925.2105
2424,7-11,,3956 S HWY 163,MEXICAN HAT,84531,Convenience Grocery,96.6699981689453,Centerlines.StatewideRoads,R107783,618934.282611698,4124868.43443334,618934.2826,4124868.4344
2425,CHINA TOWN SUPERMARKET,,3390 S STATE ST - 11,SALT LAKE CITY,84115,Grocery Store,90.9199981689453,AddressPoints.AddressGrid,R107867,424802.05349655,4505614.29331244,424802.0535,4505614.2933
2426,BIG LOTS,4657,5516 S 900 E,MURRAY,84117,Convenience Grocery,100,AddressPoints.AddressGrid,R107901,426643.962968563,4500404.55509516,426643.963,4500404.5551
2427,STANS,,85 E MAIN ST,CIRCLEVILLE,84723,Retail,100,AddressPoints.AddressGrid,R107950,388683.644259447,4225660.71137466,388683.6443,4225660.7114
2428,FAMILY DOLLAR INC,31017,2118 W CTR ST,PROVO,84601,Convenience Grocery,100,AddressPoints.AddressGrid,R108004,440778.603984565,4453965.05699607,440778.604,4453965.057
2429,ASIAN FOODS LLC,,1475 S STATE ST,CLEARFIELD,84015,Specialty Grocery,100,AddressPoints.AddressGrid,R108053,415697.722505483,4549511.68318829,415697.7225,4549511.6832
2430,SMITHS MARKETPLACE,279,2434 N 400 E,NORTH OGDEN,84414,Supermarket,100,AddressPoints.AddressGrid,R108154,419030.745968248,4572818.73432793,419030.746,4572818.7343
2431,SMITHS MARKETPLACE,274,5710 W 7800 S,WEST JORDAN,84081,Supermarket,100,Centerlines.StatewideRoads,R108155,413151.10993627,4495924.58732095,413151.1099,4495924.5873
2432,UTAH CHARITIES DBA UTAH COOP,,291 E 4500 S,MURRAY,84107,Grocery Store,100,AddressPoints.AddressGrid,R108291,425356.626945792,4503021.85665071,425356.6269,4503021.8567
2433,TESORO,,75 S 900 E,SALT LAKE CITY,84102,Convenience Grocery,100,AddressPoints.AddressGrid,R108399,427006.34164784,4513313.71603645,427006.3416,4513313.716
